type,code,lake,latitude,longitude
Both,38421,Lake Mahinapua,-42.797423,170.911996
Both,38664,Lake Kangaroo,-42.609279,171.548966
Both,38665,Lake Lady,-42.599533,171.573715
Both,39050,Lake Kaurapataka,-42.786072,171.698698
Both,39191,Lake Morgan,-42.676748,171.707152
Both,39297,Lake Mason,-42.7348972,172.17134
Both,39357,Lake Sheppard,-42.76222,172.2511
Both,39367,Lake Marion,-42.677912,172.2321582
Both,39621,Lake Hochstetter,-42.445958,171.670571
Both,41679,Lake Eggeling,-43.98569205,169.1452089
Both,45434,Lake 45434,-44.284887,169.748105
Both,45472,Lake Dumb-bell,-44.28588729,169.7493006
Both,45686,Lake Gault,-43.430526,169.984864
Both,46051,Lake Eyles,-45.25,167.4688
Both,46212,Lake Douglas,-43.96692516,169.0915972
Both,46484,Lake Duncan Stream 3,-44.032042,170.059323
Both,46493,Lake Duncan Steam 1,-44.01221492,170.0428026
Both,46494,Lake Irish Stream,-43.992728,170.040978
Both,46496,Lake Duncan Stream 2,-44.017103,170.052358
Both,46723,Lake Moeraki,-43.73432,169.28694
Both,46725,Lake Paringa,-43.7211,169.401047
Both,46774,Lake 46774,-43.640618,169.737734
Both,46775,Lake Rototekoiti,-43.640516,169.768449
Both,46954,Alpine Lake,-43.287757,170.138067
Both,46959,Lake Mapourika,-43.2979,170.2189
Both,47198,Lake Mcgregor,-43.93584,170.4709
Both,47225,Lake Hartley Tarn,-43.882706,170.441455
Both,47252,Stoney Tarn,-43.874333,170.44577
Both,47491,Lake Ianthe,-43.056407,170.625703
Both,48216,Lake Henrietta,-43.22894,171.50015
Both,49186,Lake Rotongaro,-37.4846277,175.1215381
Both,49295,Lake Puketi,-37.2793676,174.6766993
Both,50335,Lake 50335,-36.29186933,174.0270525
Both,50722,Lake 50722,-45.101567,168.838933
Both,51958,Lake Richter,-45.485661,167.505399
Both,52115,Lake Thomas,-45.471818,167.949791
Both,53163,Lake Von River Valley,-45.2419,168.2984
Both,53300,Lake Gow,-45.47777476,168.8943477
Both,53315,Skeleton Lake,-45.45265855,168.9253506
Both,53338,Lake South Mavora,-45.304893,168.175288
Both,53401,Acheron Lakes 1,-45.171477,168.099481
Both,53547,Lake Isobel,-45.021683,168.489983
Both,53548,Lake Kirkpatrick,-45.026767,168.573617
Both,53549,Lake Moke,-45.00130984,168.565181
Both,53730,Lake Alta,-45.0637174,168.8102439
Both,54025,Lake Mackenzie,-44.76490527,168.1753717
Both,54038,Dukes Tarn,-44.9638937,168.4928829
Both,54088,Lake Harris,-44.724967,168.176517
Both,54177,Lake Lochnagar,-44.5912,168.6122
Both,54655,Lake 54655,-44.53305054,168.9522099
Both,54720,Little Lake Mckay,-44.879624,169.19067
Both,L380.1,Lake Moawhitu,-40.80857,173.80987
Both,L380.2,Lake Rototai,-40.845567,172.819133
Both,L380.3,Lake Killarney,-40.852067,172.80815
Sediment,54742,Waituna Lagoon,-46.57148333,168.5662667
Sediment,36980,Lake Waikopiro,-39.23455,176.8959
Sediment,18719,Lake Rotokawau (Aupouri),-35.01815,173.20565
Sediment,50269,Lake Kuwakatai,-36.5302,174.23238
Sediment,49884,Lake Kereta,-36.593075,174.280902
Sediment,23682,Lake Heather,-35.0492848,173.1949957
Sediment,41299,Lake Emma,-43.638858,171.106462
Sediment,48447,Lake Georgina,-43.318146,171.569737
Sediment,21871,Lake Tomarata,-36.192437,174.648753
Sediment,1,Lake Onoke,-41.377447,175.12114
Sediment,28543,Lake George,-46.356284,167.860554
Sediment,44391,Lake Waihola,-46.02035028,170.0780362
Sediment,47860,Lake Emily,-43.550102,171.226395
Sediment,50320,Lake Karaka,-36.31386667,174.0384667
Sediment,19575,Lake Waipara,-34.58615,172.8536833
Sediment,41306,Lake Camp,-43.615189,171.05698
Sediment,21918,Lake Kai-iwi,-35.81565,173.6538167
