ID,Lake,Region,Latitude,Longitude,Monitored TLI3,Monitored Trophic State,Single TLI3,Singe TLI3 Trophic State,SBTI,Confidence Interval,SBTI Trophic State
52117,Lake 52117,Southland,-45.453637,167.895436,,,5.32,Supertrophic,4.31,0.12,Eutrophic
52167,Lake Norma,Southland,-45.33659188,167.2728932,,,2.12,Oligotrophic,2.47,0.21,Oligotrophic
52177,Lake Freeman,Southland,-45.34454463,167.3379897,,,2.18,Oligotrophic,2.77,0.30,Oligotrophic
52181,Lake Minerva,Southland,-45.3260034,167.3443788,,,1.96,Microtrophic,2.55,0.23,Oligotrophic
52268,Lake Eva,Southland,-45.28564,167.33633,,,1.29,Microtrophic,2.33,0.22,Oligotrophic
52269,Lake Ione,Southland,-45.27846,167.33675,,,1.48,Microtrophic,2.67,0.19,Oligotrophic
52380,Lake Cecil,Southland,-45.30439,167.3831,,,1.26,Microtrophic,2.98,0.17,Oligotrophic
52475,Lake Orbell,Southland,-45.29316,167.67046,,,1.26,Microtrophic,2.45,0.21,Oligotrophic
52487,Lake 52487,Southland,-45.34647,167.87068,,,5.22,Supertrophic,2.95,0.29,Oligotrophic
53145,Lake Nigel,Southland,-45.29487,168.42836,,,1.26,Microtrophic,2.86,0.18,Oligotrophic
53163,Lake Von River Valley,Southland,-45.2419,168.2984,,,3.22,Mesotrophic,4.06,0.15,Eutrophic
53338,Lake South Mavora,Southland,-45.304893,168.175288,,,1.26,Microtrophic,2.04,0.30,Oligotrophic
53392,Lake Ned,Southland,-45.2873,168.4328,,,1.26,Microtrophic,2.28,0.23,Oligotrophic
53401,Acheron Lakes 1,Southland,-45.171477,168.099481,,,1.26,Microtrophic,2.71,0.18,Oligotrophic
53402,Acheron Lakes 2,Southland,-45.161854,168.094904,,,1.33,Microtrophic,1.83,0.37,Microtrophic
53545,Lake Dispute,Otago,-45.04641688,168.5479205,,,3.06,Mesotrophic,3.64,0.19,Mesotrophic
53547,Lake Isobel,Otago,-45.021683,168.489983,,,2.20,Oligotrophic,2.46,0.21,Oligotrophic
53548,Lake Kirkpatrick,Otago,-45.026767,168.573617,,,4.16,Eutrophic,3.99,0.14,Mesotrophic
53549,Lake Moke ,Otago,-45.00130984,168.565181,,,3.35,Mesotrophic,4.68,0.27,Eutrophic
53683,Lake 53683,Otago,-45.17985,168.831267,,,2.95,Oligotrophic,2.14,0.27,Oligotrophic
53753,Lake 53753,Otago,-45.1847599,168.877445,,,2.25,Oligotrophic,3.32,0.15,Mesotrophic
54038,Dukes Tarn,Otago,-44.9638937,168.4928829,,,3.32,Mesotrophic,3.44,0.23,Mesotrophic
54039,Lake Luna,Otago,-44.9511879,168.4908059,,,2.69,Oligotrophic,1.97,0.32,Microtrophic
54132,Lake Diamond,Otago,-44.7380963,168.3750329,,,2.65,Oligotrophic,2.20,0.26,Oligotrophic
54177,Lake Lochnagar,Otago,-44.5912,168.6122,,,1.26,Microtrophic,2.30,0.30,Oligotrophic
54655,Lake 54655,Otago,-44.53305054,168.9522099,,,1.55,Microtrophic,4.20,0.17,Eutrophic
54720,Little Lake Mckay,Otago,-44.879624,169.19067,,,2.04,Oligotrophic,2.76,0.19,Oligotrophic
L380.1,Lake Moawhitu,Marlborough,-40.80857,173.80987,,,6.11,Hypertrophic,6.12,0.30,Hypertrophic
L380.3,Lake Killanery,Tasman,-40.85206667,172.80815,,,4.33,Eutrophic,5.02,0.21,Supertrophic
L380.4,Lake Forest,Waikato,-37.77284,175.2511049,,,5.04,Supertrophic,5.38,0.17,Supertrophic
