ID,Lake,Region,Latitude,Longitude,Monitored TLI3,Monitored Trophic State,Single TLI3,Singe TLI3 Trophic State,SBTI,Confidence Interval,SBTI Trophic State
48213,Lake Selfe,Canterbury,-43.23944,171.5183,3.04,Mesotrophic,,,3.33,0.23,Mesotrophic
48217,Lake Evelyn,Canterbury,-43.234831,171.5383,3.2,Mesotrophic,,,4.06,0.13,Eutrophic
48455,Lake Ida,Canterbury,-43.254398,171.538842,3.15,Mesotrophic,,,3.64,0.22,Mesotrophic
48597,Lake Lyndon,Canterbury,-43.306888,171.69318,3.11,Mesotrophic,,,3.08,0.26,Mesotrophic
48660,Lake Pearson,Canterbury,-43.10279,171.778328,3.83,Mesotrophic,,,3.22,0.28,Mesotrophic
48663,Lake Grasmere,Canterbury,-43.062222,171.7744,3.36,Mesotrophic,,,3.23,0.22,Mesotrophic
48669,Lake Hawdon,Canterbury,-43.104239,171.850706,3.47,Mesotrophic,,,3.91,0.15,Mesotrophic
48673,Lake Sarah,Canterbury,-43.0487,171.776777,3.2,Mesotrophic,,,3.63,0.23,Mesotrophic
50270,Lake Ototoa,Auckland,-36.51214,174.238849,3.45,Mesotrophic,3.75,Mesotrophic,4.34,0.15,Eutrophic
50401,Lake Humuhumu,Northland,-36.32808333,174.1294667,3.73,Mesotrophic,,,3.73,0.17,Mesotrophic
50413,Lake Rotokawau,Northland,-36.35028333,174.1465167,3.53,Mesotrophic,,,3.12,0.16,Mesotrophic
54732,Lake Tarawera,Bay of Plenty,-38.2066553,176.3922828,3.06,Mesotrophic,,,3.52,0.21,Mesotrophic
21917,Lake Taharoa,Northland,-35.80788333,173.6462167,1.84,Microtrophic,,,2.07,0.29,Oligotrophic
45514,Lake Ohau,Canterbury,-44.230632,169.850807,1.65,Microtrophic,3.46,Mesotrophic,1.73,0.41,Microtrophic
46564,Lake Pukaki,Canterbury,-44.07395,170.165013,1.53,Microtrophic,2.89,Oligotrophic,1.72,0.41,Microtrophic
47228,Lake Tekapo,Canterbury,-43.993266,170.486069,1.4,Microtrophic,2.27,Oligotrophic,1.72,0.41,Microtrophic
53532,Lake Wakatipu,Otago,-45.03188019,168.6959478,1.47,Microtrophic,,,1.95,0.35,Microtrophic
54672,Lake Wanaka,Otago,-44.52587905,169.112152,1.78,Microtrophic,1.57,Microtrophic,1.79,0.38,Microtrophic
54735,Lake Manapouri,Southland,-45.51820344,167.4926202,1.5,Microtrophic,2.58,Oligotrophic,1.76,0.39,Microtrophic
15312,Lake Tikitapu,Bay of Plenty,-38.1923753,176.3310214,2.75,Oligotrophic,,,2.80,0.42,Oligotrophic
21918,Lake Kai-iwi,Northland,-35.81565,173.6538167,2.9,Oligotrophic,,,2.51,0.34,Oligotrophic
21926,Lake Waikare,Northland,-35.7986,173.6303,2.38,Oligotrophic,2.46,Oligotrophic,2.66,0.43,Oligotrophic
24633,Lake Te Kahika,Northland,-34.62373575,173.0010867,2.65,Oligotrophic,,,2.68,0.48,Oligotrophic
39356,Lake Taylor,Canterbury,-42.8576532,172.8305987,2.56,Oligotrophic,2.63,Oligotrophic,2.79,0.23,Oligotrophic
39364,Lake Katrine,Canterbury,-42.8576484,172.8306034,2.73,Oligotrophic,3.52,Mesotrophic,2.72,0.28,Oligotrophic
48456,Lake Catherine,Canterbury,-43.221,171.55963,2.52,Oligotrophic,2.92,Oligotrophic,3.35,0.26,Mesotrophic
54731,Lake Okataina,Bay of Plenty,-38.1102249,176.4215715,2.94,Oligotrophic,,,3.42,0.19,Mesotrophic
54738,Lake Sumner,Canterbury,-42.8575756,172.8305065,2.11,Oligotrophic,,,3.02,0.27,Mesotrophic
13447,Lake Dudding,Manawatu Wanganui,-40.1003,175.279,5.73,Supertrophic,3.68,Mesotrophic,5.24,0.25,Supertrophic
13467,Lake Waiparera,Northland,-34.94642884,173.1832282,5.02,Supertrophic,4.90,Eutrophic,4.67,0.18,Eutrophic
14290,Lake Okaro,Bay of Plenty,-38.2989411,176.3945234,5.13,Supertrophic,,,5.08,0.25,Supertrophic
14426,Lake Serpentine North,Waikato,-37.94239999,175.3189342,5.27,Supertrophic,4.38,Eutrophic,3.88,0.21,Mesotrophic
18933,Lake Pauri,Manawatu Wanganui,-39.977567,175.0976,5.41,Supertrophic,4.34,Eutrophic,5.44,0.22,Supertrophic
18934,Lake Wiritoa,Manawatu Wanganui,-39.974633,175.089083,5.27,Supertrophic,4.08,Eutrophic,5.42,0.27,Supertrophic
18951,Lake Westmere,Manawatu Wanganui,-39.8953,174.9992,5.94,Supertrophic,5.87,Supertrophic,5.44,0.28,Supertrophic
22999,Spectacle Lake,Auckland,-36.180537,174.631217,5.98,Supertrophic,6.68,Hypertrophic,5.79,0.23,Supertrophic
24415,Lake Waiporohita,Northland,-34.90133333,173.3482167,5.14,Supertrophic,,,4.81,0.23,Eutrophic
36096,Lake Oingo,Hawke's Bay,-39.56655206,176.751942,5.1,Supertrophic,,,5.75,0.21,Supertrophic
36980,Lake Waikopiro,Hawke's Bay,-39.23455,176.8959,5.28,Supertrophic,,,5.39,0.27,Supertrophic
41293,Lake Denny,Canterbury,-43.670134,171.122638,5.52,Supertrophic,,,4.24,0.20,Eutrophic
41314,Lake Waahi,Waikato,-37.556942,175.124364,5.58,Supertrophic,6.07,Hypertrophic,6.23,0.31,Hypertrophic
44599,Lake Tuakitoto,Otago,-46.22815363,169.8248794,5.38,Supertrophic,5.41,Supertrophic,5.06,0.26,Supertrophic
49884,Lake Kereta,Auckland,-36.593075,174.280902,5.22,Supertrophic,4.54,Eutrophic,5.40,0.20,Supertrophic
50269,Lake Kuwakatai,Auckland,-36.5302,174.23238,5.34,Supertrophic,4.91,Eutrophic,5.22,0.22,Supertrophic
50345,Lake Rototuna,Northland,-36.25107,174.04008,5.19,Supertrophic,5.35,Supertrophic,4.98,0.17,Eutrophic
50403,Lake Rotootuauturu,Northland,-36.33137007,174.1397831,5.39,Supertrophic,,,4.62,0.23,Eutrophic
53707,Lake Johnson,Otago,-45.00771483,168.7323606,5.35,Supertrophic,4.79,Eutrophic,5.13,0.29,Supertrophic
3,Lake Kohangapiripiri,Wellington,-41.362207,174.856558,,,4.59,Eutrophic,3.78,0.17,Mesotrophic
4,Lake Kohangatera,Wellington,-41.368069,174.86601,,,5.95,Supertrophic,4.56,0.19,Eutrophic
195,Lake Nganoke,Wellington,-41.3555,175.18696,,,6.25,Hypertrophic,5.16,0.20,Supertrophic
301,Bartons Lagoon,Wellington,-41.16978303,175.3135285,,,5.60,Supertrophic,3.96,0.15,Mesotrophic
511,Matthews Lagoon,Wellington,-41.260467,175.268883,,,7.53,Hypertrophic,5.47,0.19,Supertrophic
841,Lake Waiorongomai,Wellington,-40.71183,175.14255,,,5.82,Supertrophic,5.86,0.22,Supertrophic
4506,Voss Lagoon,Manawatu Wanganui,-40.416283,175.4932,,,7.91,Hypertrophic,5.42,0.25,Supertrophic
4509,Karere Lagoon,Manawatu Wanganui,-40.403133,175.528067,,,5.93,Supertrophic,5.35,0.31,Supertrophic
5042,Pukepuke Lagoon,Manawatu Wanganui,-40.340858,175.26483,,,5.25,Supertrophic,5.85,0.24,Supertrophic
7512,Lake Rotokare,Taranaki,-39.4527,174.4106,,,5.42,Supertrophic,5.05,0.18,Supertrophic
8138,Lake Mckay,Otago,-44.8518862,169.2126718,,,3.15,Mesotrophic,2.71,0.21,Oligotrophic
12876,Lake Taharoa,Waikato,-38.1658535,174.7388147,,,4.23,Eutrophic,3.24,0.21,Mesotrophic
13437,Lake William,Manawatu Wanganui,-40.122512,175.310019,,,5.45,Supertrophic,5.35,0.25,Supertrophic
13446,Lake Heaton,Manawatu Wanganui,-40.10708351,175.2874406,,,5.64,Supertrophic,5.56,0.21,Supertrophic
13466,Lake Katawich,Northland,-34.943127,173.164791,,,6.22,Hypertrophic,5.03,0.15,Supertrophic
13736,Lake Rotokotuku,Waikato,-38.3671031,175.2140534,,,4.78,Eutrophic,2.99,0.36,Oligotrophic
14071,Lake Tutaeinanga,Waikato,-38.3329351,176.3223738,,,5.59,Supertrophic,5.09,0.19,Supertrophic
14179,Lake Ngapouri,Waikato,-38.3386535,176.3359105,,,4.61,Eutrophic,4.98,0.21,Eutrophic
14208,Lake Ngahewa,Waikato,-38.3152339,176.3737858,,,5.31,Supertrophic,4.77,0.15,Eutrophic
14407,Lake Ngarotoiti,Waikato,-37.943362,175.2963695,,,6.44,Hypertrophic,5.94,0.25,Supertrophic
14418,Lake Mangahia,Waikato,-37.8796137,175.2281991,,,6.77,Hypertrophic,5.15,0.16,Supertrophic
14720,Lake Te Ku Utu,Waikato,-37.8891555,175.4717045,,,5.77,Supertrophic,5.32,0.20,Supertrophic
15007,Lake Koromatua,Waikato,-37.837734,175.223583,,,6.97,Hypertrophic,5.17,0.15,Supertrophic
15013,Lake Rotokauri ,Waikato,-37.7644875,175.1980409,,,5.30,Supertrophic,5.53,0.20,Supertrophic
15022,Lake Rotoroa,Waikato,-37.7994589,175.2762498,,,4.71,Eutrophic,5.43,0.18,Supertrophic
15034,Lake Areare,Waikato,-37.667613,175.199878,,,5.74,Supertrophic,4.73,0.15,Eutrophic
15795,Lake Kaikura,Taranaki,-39.7002,174.4051,,,5.71,Supertrophic,4.07,0.15,Eutrophic
15902,Lake Herengawe,Taranaki,-39.79293,174.64075,,,5.51,Supertrophic,5.51,0.24,Supertrophic
15904,Lake Oturi,Taranaki,-39.779,174.62177,,,5.46,Supertrophic,5.11,0.17,Supertrophic
15907,Lake Waiau,Taranaki,-39.7935,174.6804,,,6.02,Hypertrophic,5.83,0.22,Supertrophic
15929,Lake 15929,Taranaki,-39.842,174.8164,,,5.62,Supertrophic,5.34,0.25,Supertrophic
16131,Lake Moumahaki,Taranaki,-39.688181,174.670536,,,5.87,Supertrophic,5.14,0.20,Supertrophic
16202,Lake 16202,Taranaki,-39.672897,174.801519,,,5.56,Supertrophic,4.46,0.13,Eutrophic
16722,Lake Kawau,Manawatu Wanganui,-40.26205,175.3504,,,6.14,Hypertrophic,5.64,0.21,Supertrophic
16901,Lake Koitiata,Manawatu Wanganui,-40.11826,175.196624,,,5.30,Supertrophic,5.21,0.23,Supertrophic
16939,Lake Waipu,Manawatu Wanganui,-40.045017,175.1557,,,6.46,Hypertrophic,5.67,0.21,Supertrophic
17286,Lake Oporoa,Manawatu Wanganui,-39.751484,175.867954,,,7.66,Hypertrophic,5.65,0.21,Supertrophic
19509,Lake Rotopokaka,Northland,-34.950534,173.380711,,,4.51,Eutrophic,2.70,0.36,Oligotrophic
21433,Lake Ngakeketo,Northland,-34.51811622,172.7739775,,,4.03,Eutrophic,4.74,0.21,Eutrophic
21434,Lake Wai Raupo,Northland,-34.51566858,172.7578431,,,3.48,Mesotrophic,4.27,0.14,Eutrophic
21450,Lake Te Ketekete,Northland,-34.479392,172.719112,,,4.07,Eutrophic,4.63,0.15,Eutrophic
21759,Lake Kapoai,Northland,-36.0455,173.8328,,,5.44,Supertrophic,5.19,0.20,Supertrophic
24422,Lake Rotokawau(Karikari),Northland,-34.87002263,173.3064349,,,4.62,Eutrophic,4.56,0.15,Eutrophic
24423,Lake 24423,Northland,-34.87172436,173.3201327,,,4.71,Eutrophic,4.15,0.12,Eutrophic
24620,Lake Wahakari,Northland,-34.65289,172.92877,,,3.57,Mesotrophic,3.25,0.19,Mesotrophic
24701,Lake Peel,Tasman,-41.14594649,172.6023813,,,1.45,Microtrophic,3.09,0.21,Mesotrophic
24960,Lake Lockett,Tasman,-41.080595,172.625535,,,1.86,Microtrophic,1.76,0.39,Microtrophic
25044,Lake Chalice,Marlborough,-41.5728685,173.3028526,,,3.57,Mesotrophic,3.58,0.17,Mesotrophic
25248,Long White Lagoon,Southland,-46.356922,168.1644,,,7.13,Hypertrophic,5.57,0.19,Supertrophic
25519,Lake Otuhie,Tasman,-40.68641667,172.4186667,,,4.47,Eutrophic,4.13,0.13,Eutrophic
25790,Lake Kaihoka 2,Tasman,-40.55473333,172.6022,,,3.76,Mesotrophic,3.81,0.14,Mesotrophic
25972,Mata Kopae Lagoon,Canterbury,-42.78007,173.26974,,,6.26,Hypertrophic,5.26,0.20,Supertrophic
26277,Lake Horsehoe,Canterbury,-42.6780261,172.2321277,,,5.86,Supertrophic,4.79,0.22,Eutrophic
27286,Lake McRae,Canterbury,-42.1834685,173.3315873,,,2.88,Oligotrophic,2.54,0.20,Oligotrophic
28942,Lake Mike,Southland,-45.8255,166.9012,,,2.07,Oligotrophic,2.52,0.22,Oligotrophic
29073,Lake Hay,Southland,-45.80654863,167.0479568,,,2.45,Oligotrophic,2.13,0.26,Oligotrophic
29104,Lake Jaquiery,Southland,-45.83387,167.24156,,,2.14,Oligotrophic,2.70,0.28,Oligotrophic
29250,Lake Island,Southland,-45.778676,167.36506,,,2.90,Oligotrophic,2.49,0.20,Oligotrophic
29541,Lake Jane,Southland,-45.7125,167.1106,,,2.62,Oligotrophic,2.63,0.18,Oligotrophic
