Lake,Code,Region,Date.Survey,Month.Sampled,Date.Rep.Survey,Latitude,Longitude,East_NZMG,North_NZMG,PRIMARY FENZ class ,GEOMORPHIC Class,MaxDepth,LakeArea,LakeVolume,lkElev,FENZ SumPress1A,FENZ SumPress1B,RegionalRa,Regional rank,National Rank,NationalCu,Natural_cover,Urban,Pasture,Landuse_Pressure,Impervious,InvasivePlants,InvasiveFish,DamEffectUpstream,DamEffectDownstream,DecTemp,DecSolrad,Fetch,SumWind,catBeech,catGlacial,catHard,catPeat,catPhos,catSlope,catAnnTemp,DirectDistCoast,ResidenceTime,MeanWind,Catch.flow,catJuneSolRad,catCalc,catPsize,catAlluv,Alpine.Grass,Indi.Hard,Built.up,Decid.Hard,Dep.Grass,Dune.Shrub,Estu.Wat,Exot.For,Fernland,Flaxland,For.Harv,Gorse,Gravel,Herb.FW.Veg,Herb.Sal.Veg,High.Prod.Exotic.Grass,Indi.For,Landslide,Low.Prod.Grass,Manuka,Matagouri,Mixed.Exo.Shrub,Orchard,Peat.Shrub,Per.Snow,River,Sand,Short.rot.Crop,Sub.Alp.Shrub,Mine,Tussock,Trans.Infra,Parkland,Max.Depth,Sampling.Depth ,Secchi.Disk,Thermocline,Altitude,Zooplankton.Net.Depth,Zooplankton.filtered,Phytoplankton.net.depth,Phytoplankton.filtered,WCS.Bul.TN,WCS.Bul.Nitrite,WCS.Bul.Nitrate,WCS.Bul.TKN,WCS.Bul.TP,WCS.Bul.TSS,WCS.Bul.VSS,WCS.DOC,WCS.TOC,WCS.DIN.Nitrite,WCS.DIN.Nitrate,WCS.DIN.Ammonia,WCS.DIN.DRP,WCS.Arsenic,WCS.Cadmium,WCS.Chromium,WCS.Copper,WCS.Lead,WCS.Mercury,WCS.Nickel,WCS.Zinc,WCS.Chla,BS.Bul.TN,BS.Bul.Nitrite,BS.Bul.Nitrate,BS.Bul.TKN,BS.Bul.TP,BS.Bul.TSS,BS.Bul.VSS,BS.DOC,BS.TOC,BS.DIN.Nitrite,BS.DIN.Nitrate,BS.DIN.Ammonia,BS.DIN.DRP,BS.Arsenic,BS.Cadmium,BS.Chromium,BS.Copper,BS.Lead,BS.Mercury,BS.Nickel,BS.Zinc,Data.Quality,TLI3,TL-P,TL-N,TL-Chl-a,Median-TP,Median-TN,Median-Chl-a,Chla-95,Bloom,Shallow/Deep,Monitored.Month.TN,Monitored.Month.TP,Monitored.Month.Chla,Days.Different,PW.DRP.concentration.DL,PW.TP,Ex.P.PW,PF.NH4Cl.P,PF.BD.P,PF.NaOH.rP,PF.Org.P,PF.HCl.P,PF.Res.P,PF.Total.P,PF.NH4Cl.P%,PF.BD.P%,PF.NaOH.rP%,PF.Org.P%,PF.HCl.P%,PF.Res.P%,Pot.Mob.P.SL,Pot.Mob.AL,Pot.Mob.AL.Org.P,EPC,AR.P.DW,AR.N.DW,AR.P,AR.N,Sys.for.Densities,Tot.BD.sedm.PW.g.cm3,Tot.BD.sedm.PW.kg.m3,DryBD.DW.g.cm3,DryBD.DW.,PW.density.g.cm3,PW.density.,AM.sedm.PW.g.cm2,AM.sedm.PW.kg.m2,AM.DW.g.cm2,AM.DW.kg.m2,AM.PW.g.cm2,AM.PW.kg.m2,Tot.PW,BulS.Ash,BulS.OM,BulS.Carbonates,BulS.TOC,BulS.TN,BulS.Iron,BulS.Manganese,BulS.Aluminium,BulS.Calcium,BulS.Lead,BulS.Copper,BulS.Cadmium,BulS.Zinc,BulS.Phosphorus,BulS.Sulfur,GS..63,GS.63.2mm,GS..2mm,TRR.Mn.Fe,TRR.TOC.TP,TRR.Al.Fe,TRR.AL.P,TRR.Fe.P,TN:TP,RSE.NaOH.Al.BD.Fe,RSE.NaOH.rP.BD.P,RSE.BD.Fe.TOC,RSE.TOC.Res.P,SI.d15N,SI.d13C,SI.C:N,BD.Fe.molar,NaOH.Al,Sieve0.05,Sieve0.06,Sieve0.12,Sieve0.24,Sieve0.49,Sieve0.98,Sieve2,Sieve3.9,Sieve7.8,Sieve15.6,Sieve31,Sieve37,Sieve44,Sieve53,Sieve63,Sieve74,Sieve88,Sieve105,Sieve125,Sieve149,Sieve177,Sieve210,Sieve250,Sieve300,Sieve350,Sieve420,Sieve500,Sieve590,Sieve710,Sieve840,Sieve1000,Sieve1190,Sieve1410,Sieve1680,Sieve2000,Sieve2380,Sieve2830,Sieve3360,Dx (10),Dx (50),Dx (90)
Lake Emma,41299,Canterbury,04/11/2019,November,,-43.638858,171.106462,2357108,5728437,A,G,3,166.8,1667881,639.76,0.888,0.888,38,1.756,66,0.381,0.9892,0.11,0.11,23.59,0,0,0,0,0,13.68,2297.33,1944,4.51,0,0,3.12,8.63,3.4,15.31,7.37,67818.48,40.79883086,3.797725797,14921421.8,511.048555,1.08328342,3.36908317,22.947794,0,0,0.12654104,0,21.07171165,0,0,0.289211343,0.589324249,0,0,0,5.583832162,5.687044038,0,0.121332081,0,0.451935718,40.67378207,0.360097036,1.970830734,0.406998689,0,0,0,0,0,0,0.430090536,0,22.23726866,0,0,2.3,,1.2,,640,,50,,50,,,,,,,,3.9,4.9,,,,,<0.0005,<0.00001,<0.0002,0.0012,0.00007,<0.00008,0.00036,0.0027,0.0067,,,,,,,,,,,,,,,,,,,,,,2,4.52,4.29,4.76,4.5,22,560,7.2,23.4,17.4,shallow,,,,,0.007,0.043,0.4459,0.3943,445.3,79.84,265,99.8,280,1170,0.038,38,6.8,22.6,8.53,23.9,791,711,446,0.0046,4.78,131.19,12.56,344.79,C,1.1,1100,0.131,131.4,0.969,969,22002,22,2628,2.628,19374,19.4,88.1,81.4,18.6,1.3,5.8,0.6,19100,680,17500,18500,11.8,18.2,0.039,49.6,730,1800,46.36,53.64,0,0.0362,204.9,1.9,27.52,14.51,8.22,0.78,0.18,0.016,534.2,,,,0.079,0.061762676,0,0,0,0,0,0.17,0.67,1.91,4.9,10.9,22.58,27.36,32.83,39.55,46.36,52.86,59.69,66.14,71.84,76.74,80.85,84.4,87.54,90.48,92.68,94.9,96.68,98.02,99.07,99.66,99.94,100,100,100,100,100,100,100,14.4,69,291
Lake Georgina,48447,Canterbury,14/11/2019,November,,-43.318146,171.569737,2393918,5764587,A,G,10,17.5,581716,536.66,0.454,0.217,112,27.14,1927,72.935,0.4937,0,0,11.87,0,322,18,0,0,14.64,2283.67,735,3.99,0,0,3.88,0,3.05,17.32,8.68,78755.08,86.41585123,3.823379159,2457031.42,511.97757,1,3.94208503,56.5747147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080857861,0,0,61.55045821,13.06451682,25.30416711,0,0,0,0,0,0,0,0,0,0,0,0,11.7,,3.8,,545,3,,3,,,,,,,,,3.7,4.4,<0.001,73,0.01,<0.002,,,,,,,,,0.0011,,,,,,,,,,,,,,,,,,,,,,2,4.03,3.57,4.74,3.78,14,560,4,10.36,0,deep,320,9,2.9,29,0.009,0.12,7.7955,7.644,290.8,110.8,458.3,158,230,1256,0.621,23.2,8.8,36.5,12.58,18.3,868,757,299,0.0042,38.95,130.88,41.97,141.03,C,0.962,962,0.054,53.9,0.908,908,19247,19.2,1078,1.078,18169,18.2,94.4,69.5,30.5,1.6,9.4,1.6,17900,283,19500,5940,25.5,40.8,0.11,81,1060,5400,34.81,65.19,0,0.0161,228.7,2.25,21.12,9.37,15.09,2.03,0.38,0.006,1053.9,,,,0.047,0.094911785,0,0,0,0,0,0,0.04,0.81,2.98,8.14,18.02,21.56,25.44,30.09,34.81,39.48,44.7,50.16,55.58,61.05,66.4,71.68,76.95,82.21,86.3,90.46,93.74,96.18,98.05,99.16,99.75,99.96,100,100,100,100,100,100,18.4,104,411
Lake Tomarata,21871,Auckland,14/11/2018,November,,-36.192437,174.648753,2658951,6555045,A,W,5,14.4,239265,32.63,0.475,0.176,12,43.41,1843,72.046,0.4959,0,47.88,2.11,0,0,45,0,0,19.19,2370.47,600,3.71,0,0,2.45,2.56E-03,0.99,3.92,,1473.37,,3.886026859,143186.172,675,1.26,1.72,0,0,3.929508369,0,0,0,0,0,11.61233365,0,0,0,0,0,26.04373059,0,53.19803167,0,0,0,5.216395712,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,5,1.55,3.5,33,4,,4,,0.51,0.004,<0.002,0.51,0.039,9,6.5,11.8,12.2,0.0029,<0.002,<0.005,<0.002,0.0005,0.00003,<0.0002,0.0006,0.0003,<0.0001,0.0004,0.0031,0.0087,,,,,,,,,,,,,,,,,,,,,,1,4.31,3.64,4.61,4.67,15,535,9.5,16.5,0,shallow,710,16,13,15,0.066,0.74,0.6188,0.1903,29.98,166.4,215.2,12.58,164,589,0.105,5.1,28.3,36.6,2.14,27.9,412,246,31,0.0185,0.2,-10.3,0.84,-42.32,C,1.539,1539,0.205,205.4,1.334,1334,30780,30.8,4108,4.108,26673,26.7,86.7,74.5,25.5,2,9.1,0.85,74100,991,24600,3030,33.1,21.3,0.15,46.5,888,4950,57.74,42.26,0,0.0136,264.3,0.69,31.8,46.28,9.57,0.7,5.55,0.029,1430.9,2.81575,-29.77375,12.4840794,0.222,0.155591738,0,0,0,0,0,0.83,2.72,6.02,11.36,20.86,35.34,40.13,45.35,51.57,57.74,63.54,69.47,74.81,79.22,82.64,85.2,87.21,88.85,90.37,91.55,92.87,94.11,95.32,96.68,97.84,98.83,99.5,99.87,100,100,100,100,100,6.75,50.6,287
Lake Onoke,1,Wellington,26/01/2021,January,,-41.377447,175.12114,2688138,5978477,A,B,7.7,622.4,15965758,0.18,0.102,0.062,211,99.938,3005,94.483,0.3676,0.49,60.61,407879.26,36.6816,0,24,0,0.1871,17.18,2326.53,3657,6.06,14.6,0,2.6,7.20E-09,1.77,9.79,11.29,0,2.015012626,5.905070066,2892042338,531.46,1.65,3.06,7.56E-07,0.002174777,5.140579555,0.624837251,0.785617797,0,0,0,3.983207443,0.032950197,0,0.536900158,1.588683519,0.424432544,0.570907676,0,59.16317566,17.47578514,0.023841621,1.04542829,3.407117028,0,0.016756396,0.543545414,0,0,0.370947089,0.025464466,1.684991895,1.369270447,0.010197652,0.978563749,0.001648894,0.192975347,1.2,,0.7,,47,,50,,50,0.26,0.0018,0.0438,0.21,0.023,8,<3,0.57,0.51,0.0017,0.0466,<0.005,<0.002,0.00058,0.000034,<0.0002,0.001,0.00008,<0.00008,0.00053,0.01,0.071,,,,,,,,,,,,,,,,,,,,,,3,4.53,5.14,4.69,3.76,33,510,1.5,11.2,0,shallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Ngakapua,18717,Northland,07/07/2019,July,,-35.15583959,173.3499011,2528576,6686889,W,S,,6.1,105005,56.19,WETLAND,WETLAND,0,0,0,0,WETLAND,,,WETLAND,WETLAND,WETLAND,WETLAND,WETLAND,WETLAND,,,,,,,,,,,,,,5.490712404,407130.176,721,1.22,1.77,0.00389587,0,0,0,0,0,0,0,43.86350317,0,0,0.201485748,0,0,20.2574106,0,35.20486245,0,0,0,0.390357707,0,0,0,0,0,0,0,0,0,0.082380322,0,0,0,4.9,4.9,1.9,,56.2,3,,3,,0.6,<0.001,<0.002,0.6,0.013,5,<3,7.8,8.6,<0.001,<0.002,<0.005,<0.002,<0.0005,<0.00001,<0.0002,0.0018,<0.00005,<0.0001,<0.0002,,0.0038,,,,,,,,,,,,,,,,,,,,,,1,4.12,3.57,4.66,4.14,13.5,509.5,4.7,10.995,16.7,shallow,,,,,0.001,0.058,0.4829,0.464512465,23.83474443,194.5675772,757.4,43.94883788,360,1380,0.035,1.7,14.1,54.9,3.18,26.1,976,782,24,0.0041,6.11,54.41,4.64,41.31,C,0.735,735,0.038,38,0.697,697,14693,14.7,759,0.759,13934,13.9,94.8,49.8,50.2,2.1,31.8,2.5,9680,116,16600,5860,7.2,13.3,0.097,63.7,1090,15000,21,79,0,0.0122,752.3,3.55,17.48,4.93,22.94,50.63,8.16,0,2277.9,-0.653,-27.3003,12.25564618,0.008,0.388998767,0,0,0,0,0,0,0.04,0.83,2.67,5.97,11.38,13.28,15.4,18.07,21,24.18,28.18,32.99,38.44,44.75,51.61,58.95,66.74,74.75,81.06,87.4,92.25,95.65,98.02,99.27,99.85,100,100,100,100,100,100,100,26.8,170,457
Lake George,28543,Southland,23/02/2019,February,,-46.356284,167.860554,2114289,5415464,A,B,2,90.8,605401,10.47,0.401,0.401,29,0.708,42,0.199,0.5254,0.79,44.67,326.5,87.7676,0,0,0,0,13.8,2142.85,1296,4.89,37.02,0,2.03,42.46,2.26,2.81,9.68,1278.96,18.96704421,4.431880593,11650274.3,371.79158,1.75498581,1.67343307,4.31221008,0,3.458954557,0.833335831,0,0,0,0,1.178709631,1.131824857,0.572686458,0.163821967,1.082663637,0,6.371530223,0,52.60501654,26.44929972,0,2.884309215,2.242216164,0,0,0,0,0,0,0.70077038,0.107471035,0,0.150887621,0,0,0.066502163,0.8,0.8,0.38,NA,10.5,,50,,50,0.98,<0.001,<0.002,0.98,0.071,92,20.3,12.6,14.1,0.0017,0.01,<0.005,<0.002,<0.0005,0.00001,0.0003,0.0019,0.0002,<0.0001,0.0008,0.053,0.014,,,,,,,,,,,,,,,,,,,,,,1,4.46,4.5,4.58,4.3,25,500,3.6,55.7,6.3,shallow,2725,199.5,66.5,20,0.009,0.17,0.5072,0.4877,5.268,65.15,76.1,35.95,85.5,268,0.189,2,24.3,28.3,13.39,31.8,147,82,6,0.0092,0.24,11.85,1.61,79.12,C,1.056,1056,0.334,333.9,0.722,722,21113,21.1,6678,6.678,14436,14.4,68.4,93.3,6.7,1.8,1.8,0.17,19800,444,10400,3780,3.92,8.13,0.052,30.2,313,786,54.89,45.11,0,0.0228,148.3,1.09,38.14,35.09,5.43,1.83,12.37,0.035,542.9,3.252,-28.0323,13.88980827,0.052,0.095196496,0,0,0,0,0,0.31,0.96,1.55,3.31,6.06,16.23,23.62,32.83,44.18,54.89,63.95,71.83,77.43,81,82.98,84.17,85.15,86.28,87.68,89,90.59,92.09,93.5,95.04,96.4,97.68,98.72,99.46,99.88,100,100,100,100,24.2,58.1,392
Lake Clearwater,41305,Canterbury,05/11/2019,November,,-43.6027,171.044722,2352183,5731997,E,G,18,196.6,11798938,675,0.848,0.211,79,12.065,615,13.031,0.9263,0.09,0,13.81,0,92,0,0,0,13.57,2315.65,2886,4.52,0,0,2.94,0,3.51,7.94,7.87,73186.05,175.0547268,3.773001552,24601524.2,513.079396,1.08522439,3.29399896,65.9266968,0,0,0.099815958,0,10.21593929,0,0,0.061643317,0,0,0,0,0,1.134334399,0,0,0,0,28.20642872,0,0.871399267,0,0,0,0,0,0,0,0,0,59.41043904,0,0,20,,3.9,,675,10,,10,,,,,,,,,3.5,3.9,,,,,<0.0005,0.000019,<0.0002,0.0011,0.00017,<0.00008,<0.0002,0.011,0.022,,,,,,,,,,,,,,,,,,,,,,2,3.96,3.69,4.53,3.67,13,500,3,6.32,0,deep,,,,,0.024,0.21,6.9268,6.593,251.7,288.3,306,137.4,100,1090,0.635,23.1,26.4,28.1,12.6,9.2,853,565,259, ,22.92,115.38,32.68,164.5,C,1.062,1062,0.071,71.3,0.991,991,21239,21.2,1426,1.426,19813,19.8,93.3,74.4,25.6,1.5,9.4,1.2,10400,210,14600,5690,11.4,36.5,0.075,47.2,940,4400,34.8,65.2,0,0.0205,257.9,2.91,17.83,6.14,12.77,4.61,1.15,0.002,2424.1,,,,0.018,0.082062988,0,0,0,0,0,0,0,0.59,2.34,7.11,16.74,20.35,24.42,29.47,34.8,40.21,46.39,52.9,59.33,65.66,71.63,77.29,82.64,87.69,91.4,94.83,97.25,98.77,99.64,99.97,100,100,100,100,100,100,100,100,20.1,97.1,330
Lake Carrot,23690,Northland,12/11/2018,November,07/07/2019,-35.0214519,173.1889745,2527949,6686569,C,W,3,2.1,20633,54.98,0.326,0.075,38,86.523,2320,86.557,0.327,0,25.95,0,0,307.8,0,0,0,19.4,2360.02,370,5.25,0,0,3.86,4.43E-03,1,0.66,15.69,1976.1,92.780469,5.472020388,81169.136,721,1.04,1.95,0.04188246,0,0,0,0,0,0,0,61.75950166,0,0,0,0,0,9.643712358,0,28.59678599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,7.7,2.47,,55,4,,4,,,,,,,,,7.6,9.7,,,,,<0.0005,<0.00001,<0.0002,<0.0002,<0.00005,<0.0001,<0.0002,<0.001,0.0029,,,,,,,,,,,,,,,,,,,,,,1,4.38,4.26,4.5,4.37,18.5,495.5,6.5,11.12,0,shallow,489,240,5.2,1,0.011,0.091,5.0377,4.614,263.6,277.2,1241,35.11,455,2277,0.221,11.6,12.2,54.5,1.54,20,1787,1510,269,0.0046,58.3,186.3,29.84,95.34,C,1.011,1011,0.026,25.6,0.985,985,20222,20.2,512,0.512,19710,19.7,97.5,27,73,1.5,29,2.9,12700,302,8220,6240,21.1,22.2,0.14,110,2310,18300,10.71,86.83,2.45,0.0242,323.7,1.34,4.08,3.05,12.55,5.23,1.05,0.002,1643.6,-0.436,-31.3953,14.20186768,0.051,0.264368931,0,0,0,0,0,0,0.11,0.86,2.12,3.98,6.67,7.52,8.42,9.51,10.71,12.03,13.77,15.95,18.52,21.61,25.07,28.91,33.33,38.47,43.31,49.74,56.48,63.29,71.01,77.69,83.81,88.81,92.64,95.51,97.54,98.98,99.76,99.99,57.1,423,1250
Lake Waihola,44391,Otago,23/06/2020,June,,-46.02035028,170.0780362,2283720,5461436,A,R,2.2,607.6,4455421,12.36,0.254,0.102,17,36.986,1796,71.809,0.321,0.62,69.62,209.65,0,0,41,0,0,14.48,2145.94,5700,4.44,0,0,2.47,0,2.71,5.73,9.79,8630.65,118.4168201,4.382725954,13733088.3,405.344676,1.74891305,1.8864907,5.39892292,0,0.720027156,0.691273052,0.082593958,0,0,0,15.67601625,0,0,0.515937269,1.721573216,0,2.81809665,0,73.93815946,0.316088235,0,0.26939218,3.042502495,0,0,0.151681282,0,0,0.032112872,0,0,0,0.024545921,0,0,0,2,,0.9,0,7,,160,,80,0.55,<0.001,<0.002,0.55,0.38,9,4,3.4,4.2,<0.001,0.212,0.007,<0.002,<0.0005,<0.00002,0.00033,0.00081,0.00017,<0.00008,0.00051,0.041,0.0062,,,,,,,,,,,,,,,,,,,,,,2,4.77,5.22,4.58,4.5,46,485,5.25,18,5.3,shallow,,,,,0.004,0.072,0.1246,0.1112,634.1,499.3,223.4,318.2,190,1865,0.007,34,26.8,12,17.06,10.2,1357,858,634,0.0117,19.88,41.2,104.05,215.67,C,1.141,1141,0.262,261.7,0.879,879,22818,22.8,5235,5.235,17583,17.6,77.1,88.6,11.4,5,3.3,0.43,43200,1510,18600,4310,21,38.1,0.12,103,1360,1200,87.21,12.79,0,0.0355,62.6,0.89,15.7,17.62,3.16,0.48,0.79,0.098,447.9,,,,0.268,0.127737648,0,0,0,0,0,0.95,3.26,8.61,20.3,38.62,63.17,69.96,76.31,82.43,87.21,90.87,93.92,96.21,97.87,99,99.68,99.99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4.35,21.9,71
Lake Wairarapa,1708,Wellington,27/09/2018,September,,-41.17624,175.28415,2697717,5996166,A,R/B,2.5,7737.1,64475867,1.26,0.411,0.109,141,91.685,531,9.327,0.7869,0.25,46.01,6564.81,9.4612,134.67,59.5,2.4378,0.0461,16.94,2299.55,17888,5.67,20.04,0,2.42,1.60E-07,1.49,8.76,11.75,10182.45,36.73456645,5.280513048,640641597,529.54,1.5,2.39,6.20E-06,0,8.872242749,0.350884061,0.728032253,0,0,0,0.634073169,0,0,0.016396933,6.244678621,0.212774908,2.623238005,0,50.07923758,27.6166575,0.001883164,0.23233542,0.480828081,0,0.043601615,0.04371811,0,0,0.395009389,0.010688333,0.392795983,0.25150057,0,0.648189858,0,0.121233697,2.5,2.2,NA,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.92,5.47,4.58,4.72,54,465,7.58,24.9,0,shallow,570,64.5,21,8,0.035,0.2,1.0075,0.9588,189.3,20.5,257.2,217.4,110,795,0.127,23.8,2.6,32.3,27.33,13.8,468,448,190,0.0165,1.52,36.23,16.62,396.29,C,1.307,1307,0.547,546.9,0.76,760,26139,26.1,10939,10.939,15201,15.2,58.2,96.8,3.3,1.7,0.79,<0.13,20800,591,12600,5480,13.5,12.8,0.064,58.4,665,576,93.97,6.03,0,0.0289,30.6,1.25,21.75,17.35,0.98,0.54,0.11,0.127,185.2,,,,0.083,0.044942488,0,0,0,0,0,2.02,5.03,8.66,15.3,31.54,67.68,77.05,84.67,90.6,93.97,95.77,96.69,97.07,97.34,97.71,98.19,98.75,99.29,99.72,99.93,100,100,100,100,100,100,100,100,100,100,100,100,100,4.65,22.8,51.7
Lake Hawdon,48669,Canterbury,13/11/2019,November,,-43.104239,171.850706,2416383,5788633,A,G,4,35.4,471496,571.06,0.559,0.559,85,12.621,1145,24.867,0.5666,0,0,0.08,7044.5469,0,0,0,0,14.47,2288.38,1026,3.14,0,0,2.94,0,3.46,19.32,8.41,71669.6,165.3192916,3.433574557,1040991.3,516.861905,1,3.42857146,1.76800346,0,0,0,0,0,0,0,0,0,0,0,0,0.503427399,1.664061894,0,0,0,6.495589181,58.52005403,0,0,0,0,0,0,0,0,0,0,0,32.8168675,0,0,3.4,,2.9,0,561,1.5,,1.5,,,,,,,,,3.4,3.7,0.0013,93.7,0.03,<0.002,,,,,,,,,0.0013,,,,,,,,,,,,,,,,,,,,,,2,3.47,2.7,4.53,3.18,5,460,1.45,7.505,4.5,shallow,340,4,2.5,30,0.008,0.023,2.0244,1.62,381.8,121.6,46.8,11.51,140,704,0.288,54.3,17.3,6.7,1.64,19.9,552,431,384, ,-0.06,-72.84,-0.02,-25.42,C,0.899,899,0.017,17.4,0.881,881,17972,18,349,0.349,17623,17.6,98.1,45.9,54.1,2,19.4,2.1,6840,312,6050,17700,4.3,22.1,0.018,18.7,360,5600,19.5,79.49,0.98,0.0464,1389.7,1.83,19.29,10.54,58.33,0.52,0.32,0.002,3573.5,,,,0.029,0.015130818,0,0,0,0,0,0,0,0.13,0.85,3.13,8.99,11.08,13.38,16.27,19.5,23.07,27.65,33.2,39.39,46.26,53.3,60.29,67.02,73.38,78.05,82.55,86.04,88.75,91.2,93.09,94.75,96.16,97.32,98.27,98.99,99.5,99.81,99.97,33.9,163,646
Lake Tutira,36981,Hawke's Bay,20/09/2019,September,,-39.22501,176.8982,2846091,6212763,E,L,52.88,170,29964100,160.37,0.462,0.247,12,32.735,1985,73.673,0.4741,0,27.08,0.53,0,244.2,14,0,0,18.05,2358.91,2397,4.69,0,0,3.39,0,2.22,10.21,12.97,10088.42,1874.189202,4.791166782,5835534.85,620.51,2.25,4.67,3.20E-05,0,2.951277006,0,5.110668639,0,0,0,24.873608,0.189012924,0,5.537492378,0.917327512,0,0,0,37.77670498,0.918881276,0,9.980892348,11.74413494,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,5.8,5,160,25,,25,,,,,,,,,3.7,6.4,,,,,0.00079,<0.00001,<0.0002,0.00069,0.000067,<0.00008,0.00024,0.0088,0.0021,,,,,,,,3.3,3.3,,,,,0.00086,<0.00001,<0.0002,<0.0002,<0.00005,<0.00008,<0.0002,0.006,1,4.51,4.25,4.51,4.77,21.5,440,5.7,64.85,20,deep,240,9,2.4,8,0.02,0.17,0.2588,0.114,915.9,1805,256.3,149.6,170,3297,0.008,27.8,54.7,7.8,4.54,5.2,2977,1172,916, ,60.76,-196.22,174.69,-564.15,C,1.185,1185,0.144,143.8,1.041,1041,23695,23.7,2875,2.875,20820,20.8,87.9,85.5,14.5,1.5,5.4,0.73,44600,1920,25000,9140,17.6,15.8,0.13,76.8,2730,4800,87.29,12.71,0,0.0438,51,1.16,10.51,9.06,2.67,0.84,1.97,0.016,819.1,4.13775,-29.93175,9.874040062,0.071,0.059404602,0,0,0,0,0,2.25,6.18,12.52,23.75,39.31,55.28,59.31,63.25,67.48,71.39,74.94,78.55,81.88,84.76,87.15,89.13,90.93,92.78,94.8,96.48,98.14,99.26,99.83,100,100,100,100,100,100,100,100,100,100,3.12,24.6,192
Lake Emily,47860,Canterbury,03/11/2019,November,,-43.550102,171.226395,2366774,5738063,F,R,17.31,19.3,1116175,674.31,0.313,0.274,74,6.412,1115,24.784,0.3243,0,0,1.35,408.3871,0,12,0,0,13.59,2279.31,627,4.62,0,0,2.27,1.86,3.86,8.68,8.49,71079.09,283.4560014,4.0796839,1437274.37,510,1.01357472,3.10859728,75.2149506,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48276043,0,0,0,0,86.48221813,1.867443903,1.167577528,0,0,0,0,0,0,0,0,0,0,0,0,2.3,,0.7,,674,,50,,50,,,,,,,,3.7,4.9,,,,,<0.0005,<0.00001,<0.0002,0.00038,<0.00005,<0.00008,0.00021,0.0075,0.0038,,,,,,,,,,,,,,,,,,,,,,2,4.1,4.26,4.38,3.65,23,430,1.8,20.6,8.7,shallow,,,,,0.029,0.043,0.5959,0.3237,280.3,123.5,475,408.4,280,1568,0.038,17.9,7.9,30.3,26.05,17.9,879,756,281,0.0087,12.25,45.62,37.6,140.06,P,1.594,1594,0.153,153.5,1.44,1440,31878,31.9,3070,3.07,28808,28.8,90.4,69,31,1.1,12.7,1.9,17800,530,20400,5720,16.7,12,0.052,58.9,1000,2300,43.33,56.67,0,0.0303,327.5,2.37,23.42,9.87,19,1.29,0.44,0.006,1169.7,,,,0.069,0.088229601,0,0,0,0,0,0,0.13,1.13,3.64,9.3,21.83,26.52,31.59,37.49,43.33,48.95,55.06,61.18,66.95,72.28,76.98,81.15,84.85,88.29,90.9,93.61,95.86,97.62,98.98,99.71,100,100,100,100,100,100,100,100,16.5,76.2,332
Lake Morehurehu,24628,Northland,14/11/2018,November,29/06/2019,-34.64216655,172.9973286,2510606,6728865,A,W,14,35.9,1676633,16.97,0.33,0.082,32,82.031,2215,82.215,0.3379,0,2.27,0.49,0,143.1,0,0,0,19.47,2361.68,1200,4.6,0,0,3.9,3.03E-05,0.98,3.31,15.74,1723.88,467.4649887,4.756651163,1309126.66,734.69,0.99,1.95,0,0,0,0,0,0,0,0,85.41303448,0,0,0,0,0,4.861288364,0,2.604177933,0,0,0.398224537,6.711161391,0,0,0,0,0,0,0.012113294,0,0,0,0,0,0,14.1,14.1,2.02,,17,10,,10,,,,,,,,,17,17.3,,,,,<0.0005,<0.00001,0.0005,<0.0002,0.0001,<0.0001,0.0011,0.0029,0.0017,0.63,0.011,0.024,0.59,0.024,<3,<3,17.7,17.9,0.01,0.024,0.074,<0.002,<0.0005,<0.00001,0.0006,<0.0002,0.0001,<0.0001,0.0013,0.0058,1,3.72,3.56,4.29,3.32,14,423.5,2.3,4.7,0,deep,380,17,3.7,1,0.008,1.23,0.2423,0.1683,46.45,480,286.5,33.6,302,1149,0.021,4,41.8,24.9,2.92,26.3,813,333,47, ,0.97,3.67,4.49,16.99,P,2.376,2376,0.232,231.7,2.144,2144,47518,47.5,4633,4.633,42884,42.9,90.2,72.6,27.5,1.3,10.1,0.67,56000,332,14500,1740,4.09,13.3,0.1,33.4,1080,4550,44.07,51.93,3.89,0.006,241.2,0.54,15.41,28.76,6.2,1.4,10.33,0.021,862.4,3.02375,-28.03375,19.51720173,0.179,0.250696378,0,0,0,0,0,0.69,2.23,4.61,8.82,16.27,27.69,31.4,35.32,39.79,44.07,47.98,51.93,55.52,58.62,61.24,63.44,65.38,67.15,68.91,70.38,72.23,74.22,76.39,79.2,81.99,85.03,88.08,90.95,93.66,96,97.9,99.18,99.89,8.96,80.8,1330
