S,code,bul_s_tn,bul_s_phosphorus,high_prod_exotic_grass,low_prod_grass,latitude,altitude,lake_area,secchi_disk,wcs_chla,wcs_doc,max_depth,forestry,native,distance_to_road
4,18951,0.957580843694038,2.0376818670061576,1.1734372128297392,-0.8084326938092439,0.5021348793922944,-0.40493799018166937,-0.649271979061255,-1.145660869012624,1.2865445839400638,0.20234080130241605,-0.2776002612743047,0.9691676201602856,-1.103483133598229,-2.1533817737077983
5,14426,0.957580843694038,0.07278385536176595,1.2000032067341375,-0.8084326938092439,0.9980724224314278,-0.5775976084651006,-1.083045395801958,-0.5389937369475828,-0.33238799213471854,1.5381843821565553,-0.5992114124103869,-0.8815885164919353,-1.4432432767091972,-0.7778135799091385
3,13447,-0.4713985769803586,0.3114587399795902,1.19219193146904,-0.8084326938092439,0.4464806633098798,-0.30406949533561267,-0.6774512684523694,0.17309242850299944,-0.4863355683872285,0.6077461091173779,-0.1395705980097021,0.8271526874551475,-1.4432432767091972,-1.0560667973989608
9,41314,-0.5484128547431101,-1.4742363612977607,1.0158688773103275,0.8019978701280525,1.0888675081419597,-1.1944509326428223,1.377054715473332,-1.5426064572663776,6.451237464669432,0.2980976111648738,-0.7674274834881998,1.2370412491561544,-0.6770323641403866,0.14002160050299242
3,14428,0.8555488111762812,-0.09971844053674551,1.1076021963207634,-0.8084326938092439,1.0020245520135271,-0.3217994014570087,-0.27757508849575696,-0.42037056486418034,0.0946923806948253,1.1747190755907813,0.01005005290848196,-0.8815885164919353,-1.4432432767091972,-0.8147178000079848
1,18933,0.7482550587556567,1.8320984798367153,1.1502153893666542,-0.8084326938092439,0.47988485184914115,-0.59606448469245,-0.04813898463233181,0.3792317675938836,-0.43170900907182175,0.5966596867103481,0.43141906334198854,0.5164728944534361,-1.2086073512614512,-0.9004508203179106
6,22999,0.2553436496014686,-0.18487752548400233,1.1821926970929832,-0.8084326938092439,1.3949029043707604,-1.1146287659500935,0.4373571090368122,-1.3255956042452006,3.3722859396192315,1.054187498037823,-0.45680532485658465,0.5657739771401878,-0.627627096352736,-0.5435479816652631
2,44599,-0.6687474678676674,0.3993631164393736,1.0667473398976888,-0.686592034826232,-1.5659730087915664,-1.224294868376255,0.9531342540795515,-1.145660869012624,0.0946923806948253,0.23530575412818355,-1.7046959506490371,1.4576399063532577,-0.8932025996295069,-0.4934333671827984
1,24415,1.5557997682951226,1.8958313304778116,1.2323664191581931,-0.8084326938092439,1.6548779583681197,-1.1663591866697018,-0.769872257000024,-0.496337079187329,0.3429949230375834,1.087516844242403,-0.7007552311692925,-0.8815885164919353,-1.320284664331543,-0.6572856281079613
1,53707,1.3211553138343537,1.3099982253465166,1.1405587642071473,1.0161292143068066,-1.1080708260777987,0.6010402150187052,0.1290266499643976,0.3469818456371885,-0.2330669751976153,0.1854365933196425,1.071145161755267,-0.23221077925865277,-0.5046952222870363,-0.8509820074701957
