lake_id,SBTI,trophic_level
45472,2.30154938951373,Oligotrophic
45514,1.72660850154146,Microtrophic
45686,2.53207384930088,Oligotrophic
45688,2.52326552515905,Oligotrophic
45819,5.11087172142477,Supertrophic
46051,2.51785916219563,Oligotrophic
46138,2.4115357825514,Oligotrophic
46212,3.65940488410992,Mesotrophic
46484,2.40736770785283,Oligotrophic
46493,2.79694172732592,Oligotrophic
46494,2.80457437438989,Oligotrophic
46496,3.23906802573203,Mesotrophic
46564,1.72787872522265,Microtrophic
46723,3.57358408329101,Mesotrophic
46725,3.37740412977811,Mesotrophic
46774,2.44982588958904,Oligotrophic
46775,3.40650950270495,Mesotrophic
46954,2.41161220151334,Oligotrophic
46959,3.34442305991561,Mesotrophic
47193,3.8499632167787,Mesotrophic
47198,3.776493872454,Mesotrophic
47225,3.56180318680842,Mesotrophic
47228,1.71808110973451,Microtrophic
47491,3.14514392668958,Mesotrophic
47579,6.49579419308777,Hypertrophic
47859,3.33921707726223,Mesotrophic
47860,4.20033872921371,Eutrophic
47892,3.62271298860686,Mesotrophic
48213,3.32154307730467,Mesotrophic
48216,3.86457932424381,Mesotrophic
48217,4.03637234337517,Eutrophic
48447,4.07919873926559,Eutrophic
48455,3.66501149982257,Mesotrophic
48456,3.34579839265851,Mesotrophic
48597,3.07041176072438,Mesotrophic
48657,3.73641099497946,Mesotrophic
48660,3.21760231932342,Mesotrophic
48663,3.21162978739441,Mesotrophic
48669,3.90786376301438,Mesotrophic
48673,3.64108199323607,Mesotrophic
49176,5.92596456434151,Supertrophic
49180,6.54597901195079,Hypertrophic
49186,5.98307693615503,Supertrophic
49200,6.45279999436831,Hypertrophic
49294,4.42575227292769,Eutrophic
49295,4.16324912030384,Eutrophic
49884,5.39060533762741,Supertrophic
50151,5.30618692097454,Supertrophic
50269,5.21869657275281,Supertrophic
50270,4.3404397739816,Eutrophic
50314,4.68019772527635,Eutrophic
50320,4.35276455637549,Eutrophic
50335,4.30413682250639,Eutrophic
50345,4.97517167747641,Eutrophic
50371,4.32359130077427,Eutrophic
50373,5.13269067308534,Supertrophic
50377,4.04051614239557,Eutrophic
50401,3.73788904388871,Mesotrophic
50403,4.61493132886905,Eutrophic
50413,3.10617354757835,Mesotrophic
5042,5.85338976896552,Supertrophic
50704,2.23820579784081,Oligotrophic
50710,2.13277865127939,Oligotrophic
50722,4.80144822945696,Eutrophic
50782,6.51066181440347,Hypertrophic
511,5.47009790662651,Supertrophic
51754,2.64212962366738,Oligotrophic
51827,2.1825374040493,Oligotrophic
51931,3.07221335560054,Mesotrophic
51958,2.18265362607759,Oligotrophic
52064,2.79762977208656,Oligotrophic
52065,2.90313630561331,Oligotrophic
52115,3.39905661176818,Mesotrophic
52117,4.33172249971847,Eutrophic
52167,2.41915582090412,Oligotrophic
52177,2.77992988838095,Oligotrophic
52181,2.59851065986079,Oligotrophic
52268,2.33761076009596,Oligotrophic
52269,2.66694921213355,Oligotrophic
52380,2.98557257962496,Oligotrophic
52475,2.45101087108343,Oligotrophic
52487,2.86603262646515,Oligotrophic
53145,2.82059175348235,Oligotrophic
53163,4.04308195995785,Eutrophic
53300,2.3689134598833,Oligotrophic
53315,2.37872806840043,Oligotrophic
53338,2.02430314359931,Oligotrophic
53392,2.27213520089571,Oligotrophic
53401,2.72043189561403,Oligotrophic
53402,1.83280666621191,Microtrophic
53532,1.95279615934563,Microtrophic
53545,3.63610491136398,Mesotrophic
53547,2.45846224832347,Oligotrophic
53548,4.09444965707434,Eutrophic
53549,4.66623933980198,Eutrophic
53683,2.13971513003922,Oligotrophic
53707,5.11951015051637,Supertrophic
53717,2.4970305593437,Oligotrophic
53730,5.82518943484042,Supertrophic
53753,3.31666000169319,Mesotrophic
54025,2.25673572622411,Oligotrophic
54038,3.42958525653887,Mesotrophic
54039,1.9809700625325,Microtrophic
54088,2.5285994340176,Oligotrophic
54132,2.19842559577149,Oligotrophic
54177,2.41039403347195,Oligotrophic
54190,4.89797674810983,Eutrophic
54655,4.21311501211983,Eutrophic
54672,1.79231235678959,Microtrophic
54720,2.75146825098039,Oligotrophic
54730,4.03012308459214,Eutrophic
54731,3.40532989248507,Mesotrophic
54732,3.52084881714786,Mesotrophic
54735,1.75965287501075,Microtrophic
54738,3.02862288272294,Mesotrophic
54742,5.80031065785814,Supertrophic
7512,5.06028692802861,Supertrophic
8138,2.65548349493976,Oligotrophic
831,6.12777404816956,Hypertrophic
841,5.85189954366363,Supertrophic
L380.1,6.13295095592766,Hypertrophic
L380.10,5.1708484464224,Supertrophic
L380.11,6.66621,Hypertrophic
L380.12,3.70981911214953,Mesotrophic
L380.14,2.288982523918,Oligotrophic
L380.2,3.09877531391784,Mesotrophic
L380.3,5.01235778092243,Supertrophic
L380.4,5.39284004413766,Supertrophic
L380.5,4.93438616484517,Eutrophic
L380.6,5.11311612136929,Supertrophic
L380.7,5.78681524456522,Supertrophic
L380.8,3.88986955067085,Mesotrophic
L380.9,2.17634275049116,Oligotrophic
