lake_id,SBTI,trophic_level
1,5.367960125,Supertrophic
11133,4.15395224551614,Eutrophic
12830,2.97480232474536,Oligotrophic
12876,3.20486200502639,Mesotrophic
13437,5.36036546985922,Supertrophic
13446,5.55274178016316,Supertrophic
13447,5.22259156998822,Supertrophic
13466,5.02579411289496,Supertrophic
13467,4.66850881248978,Eutrophic
13736,2.96165158584615,Oligotrophic
14071,5.07904377594287,Supertrophic
14179,4.98760996233259,Eutrophic
14208,4.7727017706422,Eutrophic
14290,5.12090929670913,Supertrophic
14407,5.93675744756236,Supertrophic
14418,5.16205953453016,Supertrophic
14426,3.87376643216331,Mesotrophic
14428,4.8464187919112804,Eutrophic
14720,5.32544978053185,Supertrophic
15007,5.1638163876928,Supertrophic
15013,5.50145954665261,Supertrophic
15022,5.43406512724715,Supertrophic
15034,4.75114940167984,Eutrophic
15312,2.79169122470342,Oligotrophic
15325,4.15381220546576,Eutrophic
15795,4.08343128994083,Eutrophic
15902,5.51163672210249,Supertrophic
15904,5.08673458608206,Supertrophic
15907,5.81505474969689,Supertrophic
15929,5.32724259326159,Supertrophic
16131,5.13867447735887,Supertrophic
16202,4.4396795693941,Eutrophic
16222,4.5418501444795,Eutrophic
16722,5.63158828368686,Supertrophic
16901,5.18907031156406,Supertrophic
16939,5.67230846379909,Supertrophic
17286,5.65684072217315,Supertrophic
1744,5.28428441797151,Supertrophic
17761,4.33900274991412,Eutrophic
18717,3.8738344812099,Mesotrophic
18719,3.91866651412596,Mesotrophic
18933,5.4173200962963,Supertrophic
18934,5.40706818473025,Supertrophic
18951,5.43209990493167,Supertrophic
195,5.18412930572359,Supertrophic
19509,2.70686006301252,Oligotrophic
19575,3.2070185273194,Mesotrophic
21433,4.7251093855329,Eutrophic
21434,4.26316269770254,Eutrophic
21450,4.62431494261603,Eutrophic
21759,5.19106347012549,Supertrophic
21871,4.40729105172071,Eutrophic
21917,2.06509762423973,Oligotrophic
21918,2.51816588164507,Oligotrophic
21926,2.66069617337278,Oligotrophic
229,3.78242402090484,Mesotrophic
22999,5.77142698539778,Supertrophic
23681,3.88445644799499,Mesotrophic
23682,4.54761627873779,Eutrophic
23690,4.17121715750736,Eutrophic
23691,3.87412848977206,Mesotrophic
24415,4.82808055803849,Eutrophic
24422,4.58040472467072,Eutrophic
24423,4.09747655030916,Eutrophic
24434,6.34159377419355,Hypertrophic
24511,4.72742120361034,Eutrophic
24620,3.18377237963203,Mesotrophic
24628,3.18616859743346,Mesotrophic
24633,2.67332013236609,Oligotrophic
24701,3.07212876794341,Mesotrophic
24960,1.76518773779796,Microtrophic
25044,3.61094530171248,Mesotrophic
25248,5.55814529852679,Supertrophic
25519,4.1208524009122,Eutrophic
25748,3.59194862391965,Mesotrophic
25790,3.80765184188412,Mesotrophic
25972,5.27457573763939,Supertrophic
25994,6.25618359676609,Hypertrophic
26277,4.73880459032424,Eutrophic
27286,2.54623863967869,Oligotrophic
28543,3.52473312785714,Mesotrophic
28942,2.50030706587272,Oligotrophic
29073,2.15266688737486,Oligotrophic
29104,2.68822700590551,Oligotrophic
29250,2.47500730758352,Oligotrophic
29541,2.65121806587183,Oligotrophic
29568,2.23569086271605,Oligotrophic
29596,1.92670859503343,Microtrophic
29614,2.37735961795775,Oligotrophic
29644,1.89317913110668,Microtrophic
29917,1.93367870607029,Microtrophic
29956,3.5643964169681,Mesotrophic
3,3.7984237289357,Mesotrophic
301,3.96065690097824,Mesotrophic
30380,3.0264233622475,Mesotrophic
30812,3.53359784948508,Mesotrophic
32478,4.86117164214192,Eutrophic
32805,6.05234089036918,Hypertrophic
34599,5.23202333473731,Supertrophic
34665,6.46880655160334,Hypertrophic
35422,4.33828845230656,Eutrophic
36096,5.72969583402215,Supertrophic
36215,6.38132981772723,Hypertrophic
36285,5.86977480632863,Supertrophic
36314,5.88136492276125,Supertrophic
36343,5.57573788922972,Supertrophic
36741,3.15639607891602,Mesotrophic
36742,3.85298907012649,Mesotrophic
36979,5.4859884016481,Supertrophic
36980,5.38364214687356,Supertrophic
36981,4.93414680693431,Eutrophic
37529,4.95254296995891,Eutrophic
37530,4.46748892131906,Eutrophic
37534,5.32176780244989,Supertrophic
38421,2.84196603564427,Oligotrophic
38502,2.54324531895425,Oligotrophic
38664,2.99452289018132,Oligotrophic
38665,3.53698643603133,Mesotrophic
38955,2.30119258873239,Oligotrophic
38974,3.4002430237467,Mesotrophic
39050,3.76205322374284,Mesotrophic
39191,2.38175410475708,Oligotrophic
39225,3.54581531920904,Mesotrophic
39297,3.41308680057936,Mesotrophic
39356,2.79242821838379,Oligotrophic
39357,3.76611183161562,Mesotrophic
39364,2.7296363680453,Oligotrophic
39367,3.99157428306356,Mesotrophic
39621,2.75209796473483,Oligotrophic
4,4.6054021601317,Eutrophic
40071,3.6485773532432,Mesotrophic
40188,4.63853129114484,Eutrophic
40521,5.29142361778523,Supertrophic
40534,5.33705311516035,Supertrophic
40535,5.36218076586621,Supertrophic
40554,5.13613283571429,Supertrophic
40590,5.82561340645635,Supertrophic
41293,4.26788819866268,Eutrophic
41299,4.94902042923995,Eutrophic
41305,3.56621317295415,Mesotrophic
41306,3.82826308331719,Mesotrophic
41314,6.21235347811123,Hypertrophic
41679,3.82157854056047,Mesotrophic
43649,3.69527316695118,Mesotrophic
44391,4.41981108638498,Eutrophic
44599,5.05899949902153,Supertrophic
44746,4.99871480832308,Eutrophic
44747,6.32534555358119,Hypertrophic
4506,5.43053111090909,Supertrophic
4509,5.35270512304031,Supertrophic
45434,2.54337924391158,Oligotrophic
